Title,Place of Origin,Date Created,Subject - Topic,Subject - Geographic,Subject - Name [corporate],Abstract (Description),Note [content] (Note),Contributing Repository
Huey P. Long Field House pool,Baton Rouge (La.),Circa 1940,Swimming pools--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Huey P. Long Field House (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs",,,LSU Libraries. Special Collections
Greek Theatre,Baton Rouge (La.),Circa 1940,Amphitheaters--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Greek Theatre (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs",,,LSU Libraries. Special Collections
Woman in front of Mike the Tiger's cage,Baton Rouge (La.),Circa 1940,Animal cages--Louisiana--Baton Rouge--Photographs; Tiger--Housing--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Mike the Tiger Exhibit (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs",,,LSU Libraries. Special Collections
Mike the Tiger's cage,Baton Rouge (La.),Circa 1940,Animal cages--Louisiana--Baton Rouge--Photographs; Tiger--Housing--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Mike the Tiger Exhibit (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs",,,LSU Libraries. Special Collections
Tiger Stadium,Baton Rouge (La.),Circa 1940,Football stadiums--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),"Tiger Stadium (Baton Rouge, La.)--Photographs; Louisiana State University and Agricultural and Mechanical College--Buildings--Photographs",,,LSU Libraries. Special Collections
"Snow and trees, LSU, 1912",Baton Rouge (La.),1912,Snow--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Photographs,,,LSU Libraries. Special Collections
Women in coats in front of palm,Baton Rouge (La.),Circa 1912,Women college students--Louisiana--Baton Rouge--Photographs; Palms--Louisiana--Baton Rouge--Photographs; Snowballs--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),,"Black and white photograph of young women in winter coats smiling in front of palms; one has snowballs in each hand, another is holding a triangle instrument.",,LSU Libraries. Special Collections
Men on snowball,Baton Rouge (La.),Circa 1912,Snowballs--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),,"Black and white photographic postcard of men posing with large snowball while two men stand on the snowball, Baton Rouge, La.",,LSU Libraries. Special Collections
Men in snow,Baton Rouge (La.),Circa 1912,Snowballs--Louisiana--Baton Rouge--Photographs; Snowmen--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),,"Black and white photographic postcard of young men building a snow sculpture and forming snowballs in Baton Rouge, La.",,LSU Libraries. Special Collections
"Men in snow, LSU, 1912",Baton Rouge (La.),1912,College students--Louisiana--Baton Rouge--Photographs; Snowmen--Louisiana--Baton Rouge--Photographs,Baton Rouge (La.),Louisiana State University and Agricultural and Mechanical College--Students--Photographs,Black and white photographic postcard of young men posing with a snowman at LSU in 1912.,,LSU Libraries. Special Collections
